,MOLECULES,OUTCOME
1202,OC1=C2N=CC=CC2=C(C=C1)[N+]([O-])=O,0
1203,CC(SC(=O)C1=CC=CS1)C(=O)NCC(O)=O,0
1204,CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,0
1205,COC1=CC2=NNN=C2C=C1C(=O)NCC1CCCN1CC=C,0
1206,[H][C@]12C[C@]34[C@H](O)C1[C@@]1([H])C[C@]([H])(N2[C@H](O)[C@H]1CC)[C@]3([H])N(C)C1=CC=CC=C41,0
1207,NC1=CC(=CNC1=O)C1=CC=NC=C1,0
1208,COC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1,0
1209,CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C1=CC=CC=C1,0
1210,FC1=CC=C(C=C1)C(N1CCN(CC1)C1=NC(NCC=C)=NC(NCC=C)=N1)C1=CC=C(F)C=C1,0
1211,[H][C@@]12CC[C@@](O)(CC=C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H],0
1212,CCC(OC(C)=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,1
1213,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],0
1214,CN1N(C(=O)C=C1C)C1=CC=CC=C1,0
1215,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,0
1216,CCC1(CCC(=O)NC1=O)C1=CC=CC=C1,0
1217,NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1,0
1218,CCC(=O)N(C1CCN(CCC2=CC=CS2)CC1C)C1=CC=CC=C1,0
1219,OCCCC(O)=O,0
1220,COC1=CC2=C(NC=C2CCN(C(C)C)C(C)C)C=C1,0
1221,COC1=CC(CC(C)N)=CC2=C1OCO2,0
1222,CC(C=C(C1=CC=CS1)C1=CC=CS1)N(C)C,0
1223,CN(C)CCC1=CNC2=C1C=C(O)C=C2,0
1224,CC(N)CC1=CNC2=CC=CC=C12,0
1225,CC1N=C(N)OC1C1=CC=CC=C1,0
1226,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]11CC[C@@]2(OC)[C@]([H])(C1)[C@](C)(O)CCC,0
1227,[H][C@@]12C=C[C@H](OC(C)=O)[C@@H]3OC4=C(OC(C)=O)C=CC5=C4[C@]13CCN(C)[C@@H]2C5,0
1228,CCC(=O)N(C1CCN(CC(O)C2=CC=CC=C2)CC1)C1=CC=CC=C1,0
1229,CNC(C)CC1=CC2=C(OCO2)C=C1,0
1230,CCC(=O)N1C(=O)N(C2CCN(CCC(C#N)(C3=CC=CC=C3)C3=CC=CC=C3)CC2)C2=CC=CC=C12,0
1231,CCN(CC)CCC1=CNC2=CC=CC=C12,0
1232,CCOC(C(=O)OCCN(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,1
1233,CCOC1=CC=C(CC2=NC3=C(C=CC(=C3)[N+]([O-])=O)N2CCN(CC)CC)C=C1,0
1234,CCNC1C2CCC(C2)C1C1=CC=CC=C1,0
1235,CCOC(=O)C1(CCN(CCOCC2CCCO2)CC1)C1=CC=CC=C1,0
1236,COC1=CC(CC(C)N)=C(OC)C=C1,0
1237,[H][C@@]12OC3=C(OCC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,0
1238,CCC1=CC(OC)=C(CC(C)N)C=C1OC,0
1239,CCN(C)C(C)C=C(C1=CC=CS1)C1=CC=CS1,0
1240,[H][C@@]12OC3=C(OC(C)=O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@@]11C[C@]([H])([C@](C)(O)CCC)[C@]2(OC)C=C1,0
1241,CCC(=O)N(C1CCN(CC1)C(C)CC1=CC=CS1)C1=CC=CC=C1,0
1242,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H](C)CC2=CC(=O)CC[C@]12C,0
1243,COC1=CC=C(CC(C)N)C=C1,0
1244,[H][C@@]1(C)CN(C)CC[C@]1(OC(=O)CC)C1=CC=CC=C1,0
1245,CCOC(=O)C(CCN1CCOCC1)(C1=CC=CC=C1)C1=CC=CC=C1,0
1246,FC1=CC=CC=C1C12OCCN1CC(=O)NC1=C2C=C(Br)C=C1,0
1247,[Br-].[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CC[N+](C)(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,0
1248,CCC(=O)OC1(CCN(C)CC1)C1=CC=CC=C1,0
1249,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@@]11C[C@]([H])(C(C)(C)O)[C@]2(OC)C=C1,0
1250,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)C=C[C@]12C,0
1251,CC(CC1=CC=CC=C1)NCCN1C=NC2=C1C(=O)N(C)C(=O)N2C,0
1252,CCC1(CC)C(=O)NC(=O)NC1=O,0
1253,COC1=CC(Br)=C(OC)C=C1CC(C)N,0
1254,C[C@H](N)[C@@H](O)C1=CC=CC=C1,0
1255,CCC(CC)(CNC(=O)CCCO)C1=CC(OC)=CC=C1,0
1256,CN(C)CCC1=CNC2=CC=CC=C12,0
1257,CN(C)C(=O)OC1N=C(C2=CC=CC=C2)C2=C(C=CC(Cl)=C2)N(C)C1=O,0
1258,NC1=NCC(O1)C1=CC=CC=C1,0
1259,CCC(=O)C(CC(C)N1CCCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,0
1260,[H][C@@]12CC[C@@](O)(CC)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H],0
1261,OC(O)C(Cl)(Cl)Cl.C[N+](C)(C)CC([O-])=O,1
1262,OC(O)C(Cl)(Cl)Cl.OC(O)C(Cl)(Cl)Cl.CN1N(C(=O)C=C1C)C1=CC=CC=C1,0
1263,FC(F)(F)C1=CC=CC=C1C1=CC=C(CC2C(=O)NC(=S)NC2=O)O1,0
1264,[H][C@]12CC3=C4C(OC5[C@@]4(CCN1C)[C@]21CC(C(C)(O)CCC)C5(OC)C=C1)=C(O)C=C3,0
1265,CC[C@@H](O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,0
1266,CC[C@H]1CN(C)CC[C@]1(OC(=O)CC)C1=CC=CC=C1,0
1267,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C(O)=C3CC[C@@]21[H],0
1268,OC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1,0
1269,CCC(=O)N(CC(C)N(C)CCC1=CC=CC=C1)C1=CC=CC=C1,0
1270,CCOC(=O)C1(CCN(CCOCCO)CC1)C1=CC=CC=C1,0
1271,NC1(CCCCC1)C1=CC=CC=C1,0
1272,CC(N)CC1=CC2=C(OCO2)C=C1,0
1273,ClC1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,0
1274,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CC[C@@H]2O,0
1275,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC3=NON=C3C[C@]12C,0
1276,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(O)=O)N2C,0
1277,COC1=CC(CC(C)N)=CC(OC)=C1OC,0
1278,CCOC(=O)C1(CCN(CCOCC2=CC=CC=C2)CC1)C1=CC=CC=C1,0
1279,C1CCN(CC1)C1(CCCCC1)C1=CC=CS1,0
1280,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=C(Cl)C(=O)CC[C@]12C,0
1281,CC[C@H](OC(C)=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,1
1282,CCN(CC)CCN1C(CC2=CC=C(Cl)C=C2)=NC2=C1C=CC(=C2)[N+]([O-])=O,0
1283,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,0
1284,[H][C@]12CC[C@]([H])([C@H]([C@@H](O)C1)C(O)=O)N2C,0
1285,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=C[C@@H](O)CC[C@]12C,0
1286,CC(C)(N)CC1=CC=CC=C1Cl,0
1287,COC1=CC(CC(C)N)=C(OC)C=C1C,0
1288,C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,0
1289,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,0
1290,[H][C@@]12CCC[C@@]3([H])[C@@]4([H])CC5=CC=C(O)C(O1)=C5[C@@]23CCN4C,0
1291,CC(CC1=CC=CC=C1)N1CCC(CC1)N(C(C)=O)C1=CC=CC=C1,0
1292,CCN(CC)C(C)C=C(C1=CC=CS1)C1=CC=CS1,0
1293,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl,1
1294,CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC2=CC=CC=C2)CC1)C(=O)OC,0
1295,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,0
1296,COC1=CC(Br)=C(OC)C=C1CCN,0
1297,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CC[C@@H]2OC(C)=O,0
1298,N#CC1(CCCCC1)N1CCCCC1,0
1299,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,0
1300,CCC(=O)OC1(CCN(C)CC1CC=C)C1=CC=CC=C1,0
1301,CN1C2=C(C=C(C=C2)[N+]([O-])=O)C(=NCC1=O)C1=CC=CC=C1F,0
1302,CCOC(=O)C1N=C(C2=CC=CC=C2F)C2=C(NC1=O)C=CC(Cl)=C2,0
1303,CCC(N)CC1=CNC2=CC=CC=C12,0
1304,[H][C@]12CC3=C(C(OC)=C(OC)C=C3)[C@@]3(CCN1C)C[C@H](O)CC[C@@]23O,0
1305,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]11CC[C@@]2(OC)[C@H](C1)C(C)(C)O,0
1306,C1CCN(C1)C1(CCCCC1)C1=CC=CC=C1,0
1307,CC(CC1=CC=CC=C1)NCCC#N,0
1308,[H][C@@]12OC3=C4C(C[C@H]5N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2O)=CC=C3OC,0
1309,CC[C@@H]1CN(C)CC[C@]1(OC(=O)CC)C1=CC=CC=C1,0
1310,ClC1=CC2=C(NC(=O)CN3CCOC23C2=CC=CC=C2Cl)C=C1,0
1311,CC[C@@H](OC(C)=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,1
1312,CC(C)(N)CC1=CC=C(Cl)C=C1,0
1313,CCC(=O)N(C1CCN(CC1)C(C)CC1=CC=CC=C1)C1=CC=CC=C1,0
1314,BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,0
1315,CCC1=CC2=C(S1)N(C)C(=O)CN=C2C1=CC=CC=C1Cl,0
1316,C[C@H](N)C(=O)C1=CC=CC=C1,0
1317,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,0
1318,CC(=O)OC1(CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,0
1320,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](C)CC2=CC(=O)CC[C@]12C,0
1321,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CC[C@@H]2O,0
1322,CCNC(C)CC1=CC2=C(OCO2)C=C1,0
1323,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F,0
1324,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CC[N@+](C)([O-])[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,0
1325,[H][C@@]12CC[C@](C)(O)[C@@]1(C)C[C@@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C(C=O)=C[C@]12C,0
1326,CCC(=O)N(C1CCN(CC(O)C2=CC=CC=C2)CC1C)C1=CC=CC=C1,0
1327,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1C)C1=CC=CC=C1,0
1328,[H][C@@]12OC3=C(OCC4=CC=CC=C4)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,0
1329,C[C@H](N)CC1=CC=CC=C1,0
1330,CN[C@@H](C)CC1=CC=CC=C1,0
1331,CN(C(C)=O)C1=C(I)C(C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO)=C(I)C(NC(C)=O)=C1I,0
1332,C[C@H]1[C@@H](OCCN1C)C1=CC=CC=C1,0
1333,CC(C)NCC(O)COC1=CC=CC=C1OCC=C,0
1334,CC1=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC=C1,0
1335,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,0
1336,[Na+].[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O.N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C([O-])=O,0
1337,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,0
1338,CN1C2=C(C=C(Cl)C=C2)C2(OC(C)=CC(=O)N2CC1=O)C1=CC=CC=C1,0
1339,ClC1=CC2=C(C=C1)N(CC1CC1)C(=O)CN=C2C1=CC=CC=C1,0
1340,FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2,0
1341,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](OCCO)[C@@H](C1)OC,0
1342,O=C(O[C@H]1CN2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1,0
1343,[Fe],1
1344,[Zn],1
1345,OC1N=C(C2=CC=CC=C2F)C2=C(C=CC(Cl)=C2)N(CCC#N)C1=O,0
1346,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,0
1347,CC1(C)C[C@@H]1C(=O)N\C(=C/CCCCSC[C@H](N)C(O)=O)C(O)=O,0
1348,[H][C@]12CC(SCC\N=C\N)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O,0
1349,CC(C)(SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,0
1350,CC(C(O)=O)C1=CC=C(S1)C(=O)C1=CC=CC=C1,0
1351,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1,0
1352,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(=O)OC(C)OC(=O)OCC,0
1353,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(OC)C=CC=C1OC)C(O)=O,0
1354,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(=O)OCOC(=O)C(C)(C)C,0
1355,[H]C(=N[C@@H]1C(=O)N2[C@@H](C(=O)OCOC(=O)C(C)(C)C)C(C)(C)S[C@]12[H])N1CCCCCC1,0
1356,[H][C@@]12CC(=O)N1[C@@H](C(O)=O)[C@](C)(CN1C=CN=N1)S2(=O)=O,0
1357,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](C(O)=O)C1=CSC=C1)C(O)=O,0
1358,OC1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C#N)CC1,0
1359,OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=CC=CC=C1O)C1=CC=CC=C1O,0
1360,CC(C)[C@H](N)C(=O)OCC(CO)OCN1C=NC2=C1NC(N)=NC2=O,0
1361,CCN(CCO)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,0
1362,CCCCCON=O,1
1363,[O-][N+](=O)OC[C@@H](O[N+]([O-])=O)[C@H](CO[N+]([O-])=O)O[N+]([O-])=O,1
1364,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O,0
1365,CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C,0
1366,CCN(CCCC1=CC=CC=C1)CCCC1=CC=CC=C1,0
1367,CCC1=C(C)NC2=C1C(=O)C(CN1CCOCC1)CC2,0
1368,CN1CCC2=C(C1)C(C1=CC=CC=C21)C1=CC=CC=C1,0
1369,CN(C)CCC(C1=CC=CC=C1)C1=CC=CC=N1,0
1370,CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCC(CCO)CC2)C=C1,0
1371,CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,0
1372,CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3\C2=C\CCN2CCN(C)CC2)C=C1,0
1373,OCCN1CCN(CC\C=C2\C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1,0
1374,CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1)C(C)C,0
1375,CN(CC#C)CC1=CC=CC=C1,0
1376,[H][C@]1(C[C@@H](CCC)CN1C)C(=O)N[C@H]([C@@H](C)O)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,0
1377,CC1=NC=C(C=C1)C1=C(C=C(Cl)C=N1)C1=CC=C(C=C1)S(C)(=O)=O,0
1378,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(=O)NC1=O,0
1379,CCCCCCCCC(=O)OC,1
1380,O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O,0
1381,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0
1382,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0
1383,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O,0
1384,OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O,0
1385,CSCC[C@H](NC(C)=O)C(O)=O,0
1386,CCCOC1=CC(=CC=C1OC)[C@]1(C)CNC(=O)O1,0
1387,OC(=O)\C=C\C1=CC=CC=C1O,0
1388,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C1=CC=C(O)C=C1,0
1389,FC(F)OC1=C(OCC2CC2)C=C(C=C1)C(=O)NC1=C(Cl)C=NC=C1Cl,0
1390,NC1=NC2=C(N=NN2)C(=O)N1,0
1391,CC(C)[C@H]1OC(=O)C2=CCCN2C(=O)C2=COC(=N2)CC(=O)C[C@H](O)\C=C(/C)\C=C\CNC(=O)\C=C\[C@H]1C,0
1392,CCCOC(C)=O,1
1393,O[Hg]C1=CC=C(C=C1)C(O)=O,0
1394,OC(=O)C1=CC=CC(O)=C1O,0
1395,CC(=C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,0
1396,CC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,1
1397,OC(=O)\C=C\C(O)=O,0
1398,OC(=O)C1=C(C(O)=O)C(C(O)=O)=C(C(O)=O)C(C(O)=O)=C1C(O)=O,0
1399,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C1CCNC(=N)N1)C(=O)N[C@@H](CC1=CC=CC=C1)C=O,0
1400,N#CC1=NC=CC(=C1)C1=NNC(=N1)C1=CC=NC=C1,0
1401,N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O,0
1402,CC1=CC=C(O)C=C1,0
1403,[H][C@](O)(CS)[C@]([H])(O)CS,0
1404,O[C@@H]([C@H](O)C(O)=O)C(O)=O,0
1405,ONC(=O)CCCP(O)(O)=O,0
1406,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,0
1407,NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,0
1408,C[C@@H](Cl)CCl,1
1409,OC(=O)CC1=CC(O)=C(O)C=C1,0
1410,OC(=O)\C=C\C1=C(O)C=C(O)C=C1,0
1411,[H]N1C=NC2=C1C(Cl)=NC(Br)=N2,0
1412,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@]([H])(O)CC[C@]12C,0
1413,OCC1=C(F)C(F)=C(F)C(F)=C1F,0
1414,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O,0
1415,CNCCCC[C@H](N)C(O)=O,0
1416,CCCCCCCCCCCCCCCC[N+](C)(C)C,1
1417,[H]N(\C(=C/C1=CC=C(OC2=CC=CC=C2Br)C=C1)C(O)=O)C(=O)C1=CC=CC=C1,0
1418,C[C@@H](O)[C@H](N)CO,0
1419,NC1=CC=CC=C1O,0
1420,O[C@@H]([C@H](CC(O)=O)C(O)=O)C(O)=O,0
1421,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCC,0
1422,[H][C@@](CC1=CC=CC(=C1)C(N)=N)(NC(=O)CNS(=O)(=O)C1=CC=C(C)C=C1)C(=O)OC,0
1423,NCCOP(O)(O)=O,0
1424,CC[C@@H](C)[C@H](N)C(O)=O,0
1425,[H][C@@]12CC[C@@](C)(C(=O)C1)C2(C)C,0
1426,CC(C)C[C@@H](N)C(O)=O,0
1427,[Fe+3].[H][C@@]1(CCCN([O-])C(=O)\C=C(/C)CCO)NC(=O)[C@]([H])(CCCN([O-])C(=O)\C=C(/C)CCOC(=O)[C@H](CCCN([O-])C(=O)\C=C(/C)CCO)NC(C)=O)NC1=O,0
1428,COCCOC,1
1429,OC(=O)CC1=C2C=CC=CC2=CC=C1,0
1430,OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1,0
1431,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12)C(O)=O,0
1432,N[C@@H](CC1=CC=C(O)C(I)=C1)C(O)=O,0
1433,OCC1=CC(=O)C(O)=CO1,0
1434,COC1=NC=CN=C1C(C)C,0
1435,CC(=O)CC(O)=O,1
1436,CCN(CC)CCS(=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@H](C(C)C)[C@H](C)\C=C\C(=O)NC\C=C\C(\C)=C\[C@@H](O)CC(=O)CC1=NC(=CO1)C2=O,0
1437,OC(=O)CC1=C2NC(=O)C3=CC=CC=C3N2C2=C1C=CC=C2,0
1438,[H]N([C@@H]1[C@@H](O)C[C@@](OC2=CC3=C(C=C2)C(C)=CC(=O)O3)(O[C@@]1([H])[C@H](O)[C@H](O)CO)C(O)=O)C(C)=O,0
1439,OCC(=O)CO,0
1440,CC1=CC=CC(O)=C1,0
1441,CN1C2=C(NC(=N)N2)C(=O)N(C)C1=O,0
1442,OCC(CO)OP(O)(O)=O,0
1443,[H]\C1=C2/[C@@]([H])(COC)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)[C@]([H])(O[C@@]2([H])O[C@]([H])(COC(C)(C)C=C)[C@@]([H])(O)[C@]([H])(OC(C)=O)[C@@]2([H])O)C2=C(C[C@]([H])(O)[C@]12C)[C@]([H])(C)COC(C)=O,0
1444,O=C1C2=CC=CC3=C2C(=NN3)C2=C1C=CC=C2,0
1445,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,0
1446,CC(C)=CCO[P@](O)(=O)OP(O)(O)=O,1
1447,C[C@@H](N)C(O)=O,0
1448,COC1=CC=C(C=C1OC1CCCC1)C(=O)NC1=C(Cl)C=NC=C1Cl,0
1449,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2OP(O)(O)=O)N2C=CC(=O)NC2=O)[C@H]1O,0
1450,OB(O)C1=CC=CC=C1,1
1451,OC(=O)C1=CC=CN=C1C(O)=O,0
1452,OC1=CC=C(C=C1OS(O)(=O)=O)[N+]([O-])=O,1
1453,OC1=C(O)C=C2C=CNC2=C1,0
1454,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O,0
1455,[H][C@]1(O)CCN2C[C@]([H])(O)[C@@]([H])(O)[C@]([H])(O)[C@@]12[H],0
1456,OC(=O)C(=C)OP(O)(O)=O,1
1457,[H]N([H])C1=NC(=O)C2=CC=CC(C)=C2N1[H],0
1458,CCCC[N+]#[C-],1
1459,CN,1
1460,CCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,0
1461,CC(=O)N[C@@H](CC1=CC=C(C(=C1)P(O)(O)=O)P(O)(O)=O)C(=O)N[C@H]1CCCCC2=CC(OCC3CCCCC3)=C(C=C12)C(N)=O,0
1462,N[C@@H](CCONC(N)=N)C(O)=O,0
1463,CC(=O)OC[C@H](N)C(O)=O,0
1466,O=C1CCNC(=O)N1,0
1467,CCCC[N+](CCCC)(CCCC)CCCC,1
1468,OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O,0
